Geo_FIPS;TotalPop90;TotalHH90;White90;Black90;Native90;Asian90;Other90;HUnits90;RHUnits90;R0k90;R0k0p90;R0k1p90;R0k2p90;R0k3p90;R0k4p90;R0kNCp90;R10k90;R10k0p90;R10k1p90;R10k2p90;R10k3p90;R10k4p90;R10kNCp90;R20k90;R20k0p90;R20k1p90;R20k2p90;R20k3p90;R20k4p90;R20kNCp90;R35kp90;R35k0p90;R35k1p90;R35k2p90;R35k3p90;R35k4p90;R35kNCp90;R50kp90;R50k0p90;R50k1p90;R50k2p90;R50k3p90;R50k4p90;R50kNCp90;OHUnits90;O0k90;O0k0p90;O0k1p90;O0k2p90;O0k3p90;O0k4p90;O0kNCp90;O10k90;O10k0p90;O10k1p90;O10k2p90;O10k3p90;O10k4p90;O10kNCp90;O20k90;O20k0p90;O20k1p90;O20k2p90;O20k3p90;O20k4p90;O20kNCp90;O35kp90;O35k0p90;O35k1p90;O35k2p90;O35k3p90;O35k4p90;O35kNCp90;O50kp90;O50k0p90;O50k1p90;O50k2p90;O50k3p90;O50k4p90;O50kNCp90
53033006900;3774;2000;3462;68;4;218;22;2167;1051;110;0;0;0;0;102;8;262;16;24;39;58;125;0;324;65;110;40;65;36;8;75;29;21;18;7;0;0;280;225;43;4;0;0;8;806;37;16;0;7;0;14;0;51;43;0;0;8;0;0;166;60;7;21;26;52;0;174;68;56;23;12;15;0;378;257;35;74;12;0;0
53033007000;6582;4463;6078;180;48;242;34;4714;3732;645;19;8;68;40;482;28;1089;34;49;298;299;402;7;1064;369;362;172;81;55;25;524;338;142;8;12;24;0;410;347;23;25;0;0;15;247;0;0;0;0;0;0;0;15;7;0;0;8;0;0;24;5;19;0;0;0;0;61;57;0;0;0;4;0;147;100;21;17;0;9;0
53033007100;1498;1102;1318;54;57;28;41;1159;993;269;13;13;18;16;202;7;295;14;23;91;77;90;0;270;86;73;35;37;39;0;99;69;25;0;5;0;0;60;37;7;7;0;0;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033007200;1704;1481;1420;143;20;121;0;1624;1304;388;31;28;56;19;225;29;455;14;77;140;68;123;33;302;114;78;28;24;58;0;52;39;7;0;0;6;0;107;88;6;13;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;8;0;0
53033007300;772;532;615;45;31;52;29;559;542;272;0;0;7;14;226;25;148;11;27;40;57;13;0;110;75;31;4;0;0;0;7;7;0;0;0;0;0;5;5;0;0;0;0;0;7;0;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033007400;7749;5608;6483;615;66;487;98;6009;4898;1333;35;52;90;63;978;115;1487;55;138;271;286;718;19;1480;622;450;251;68;69;20;355;290;26;0;25;0;14;243;228;0;5;0;0;10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;7;12;0;0;0;0
53033007500;5368;3554;4420;520;78;255;95;3742;3212;984;14;15;30;63;774;88;976;24;154;216;240;328;14;834;400;209;139;68;18;0;310;254;35;12;9;0;0;108;87;21;0;0;0;0;123;10;0;0;0;0;10;0;0;0;0;0;0;0;0;16;7;0;0;0;9;0;37;21;7;9;0;0;0;60;43;0;17;0;0;0
53033007600;3137;1662;2114;842;72;95;14;1740;1230;281;25;9;39;24;184;0;343;15;55;77;68;128;0;365;175;102;23;41;24;0;166;117;35;8;0;0;6;75;63;6;0;0;0;6;291;48;7;0;0;8;33;0;39;11;16;0;12;0;0;19;4;0;0;0;15;0;68;43;19;6;0;0;0;117;110;0;0;7;0;0
53033007700;3779;1678;1109;2451;41;114;64;1790;806;177;5;5;9;0;145;13;256;14;32;24;58;115;13;246;49;76;38;46;37;0;62;50;6;0;0;6;0;65;36;17;0;12;0;0;730;118;33;8;0;12;65;0;108;34;14;6;15;39;0;167;107;11;14;24;11;0;158;88;27;29;0;14;0;179;149;5;25;0;0;0
53033007800;5273;2052;3423;1552;29;207;62;2152;377;16;0;0;0;0;16;0;111;18;24;17;14;38;0;79;10;27;0;12;30;0;46;15;15;0;0;0;16;125;106;19;0;0;0;0;1592;67;0;0;38;0;29;0;139;38;0;48;0;53;0;309;119;34;14;61;81;0;221;129;29;0;0;63;0;856;585;118;83;45;25;0
53033007900;3976;2137;2147;1566;48;180;35;2321;1656;492;35;30;9;94;288;36;488;69;69;81;88;181;0;366;155;121;32;18;40;0;214;175;32;7;0;0;0;96;96;0;0;0;0;0;251;37;11;0;0;6;20;0;67;11;22;0;17;17;0;59;35;11;0;13;0;0;6;0;0;0;6;0;0;82;73;9;0;0;0;0
53033008000;2912;2244;2511;145;125;131;0;2516;1852;746;51;53;104;41;435;62;578;163;57;133;104;121;0;250;78;50;59;22;41;0;85;43;22;20;0;0;0;193;185;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033008099;33;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033008100;1893;1033;1318;324;112;111;28;1094;817;548;21;29;120;145;233;0;107;30;16;21;13;27;0;61;14;37;0;5;5;0;48;22;14;0;0;12;0;53;38;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033008200;1619;1245;1342;96;22;136;23;1509;1220;468;8;29;76;45;277;33;297;43;38;40;59;108;9;298;84;86;39;56;25;8;84;65;8;6;5;0;0;73;63;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033008300;3239;2218;2567;250;92;301;29;2419;1972;449;9;17;52;8;317;46;504;16;50;121;115;202;0;584;205;188;45;28;109;9;230;194;18;8;10;0;0;205;131;45;18;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033008400;2614;1880;2101;273;40;167;33;2318;1721;509;0;0;0;33;425;51;662;57;171;130;105;199;0;353;121;107;75;18;17;15;96;76;20;0;0;0;0;101;78;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033008500;3996;1296;1988;1269;168;464;107;1443;1259;669;39;42;126;93;302;67;293;63;22;73;63;72;0;145;22;65;26;32;0;0;75;49;26;0;0;0;0;77;68;0;0;0;0;9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0
53033008600;2970;980;1764;575;74;479;78;1164;825;386;9;14;72;22;230;39;235;33;25;51;34;92;0;113;68;17;12;0;0;16;65;59;0;0;0;0;6;26;26;0;0;0;0;0;111;15;0;10;0;5;0;0;15;7;5;0;0;3;0;19;8;0;6;0;5;0;43;26;11;0;6;0;0;19;8;6;0;5;0;0
53033008700;3300;1312;763;1920;115;424;78;1498;851;368;3;13;65;15;248;24;232;35;29;15;30;123;0;145;72;41;24;8;0;0;79;46;23;10;0;0;0;27;27;0;0;0;0;0;306;38;0;13;0;0;18;7;64;37;5;0;0;22;0;68;31;6;0;13;7;11;67;43;24;0;0;0;0;69;65;4;0;0;0;0
53033008800;3278;1280;596;2451;49;143;39;1446;505;168;4;8;0;11;100;45;103;5;11;35;13;33;6;136;38;34;15;10;39;0;40;40;0;0;0;0;0;58;43;0;6;0;0;9;654;34;7;0;5;5;17;0;135;34;30;14;8;49;0;204;100;13;42;30;19;0;159;100;34;21;4;0;0;122;96;20;6;0;0;0
53033008900;4218;1721;1536;2284;22;292;84;1917;875;231;9;0;7;19;175;21;185;0;41;7;0;137;0;249;69;82;15;28;46;9;82;38;17;12;0;6;9;128;95;28;0;5;0;0;667;76;4;0;13;0;54;5;89;39;3;9;0;38;0;147;55;37;13;0;42;0;116;58;41;6;11;0;0;239;180;24;14;15;6;0
53033009000;1899;837;277;920;0;677;25;881;581;324;41;57;42;21;137;26;121;53;0;14;12;42;0;106;81;7;18;0;0;0;15;15;0;0;0;0;0;15;15;0;0;0;0;0;196;12;0;3;0;0;9;0;53;30;6;0;0;17;0;67;36;0;18;6;7;0;45;37;8;0;0;0;0;19;19;0;0;0;0;0
53033009100;1569;521;515;266;53;676;59;544;519;340;18;34;77;32;157;22;114;34;30;14;20;16;0;50;35;0;5;0;10;0;6;0;0;0;0;0;6;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033009200;1680;941;873;184;80;526;17;1035;969;685;47;82;246;118;171;21;147;60;13;5;24;45;0;93;45;7;25;0;16;0;19;19;0;0;0;0;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033009300;2057;866;959;363;95;553;87;825;399;93;0;7;0;0;70;16;110;26;6;9;15;54;0;98;33;29;19;8;9;0;58;31;10;17;0;0;0;40;40;0;0;0;0;0;227;10;0;0;0;0;4;6;48;36;0;0;0;12;0;50;33;12;0;0;5;0;39;33;6;0;0;0;0;80;69;5;6;0;0;0
53033009399;335;0;305;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033009400;4872;1831;1028;877;131;2680;156;2022;1275;320;15;0;63;31;184;27;336;16;46;66;19;189;0;383;275;45;25;14;24;0;178;134;35;0;0;0;9;58;58;0;0;0;0;0;543;68;30;22;0;9;7;0;71;54;0;6;0;11;0;113;67;0;8;16;22;0;167;117;14;30;6;0;0;124;100;7;10;0;7;0
53033009500;5409;2085;2596;1827;58;878;50;2204;699;278;27;30;50;34;119;18;223;21;58;7;28;99;10;154;40;46;20;8;29;11;19;10;9;0;0;0;0;25;25;0;0;0;0;0;1368;70;25;0;0;0;45;0;194;86;14;21;0;73;0;234;141;7;25;36;25;0;271;147;38;18;26;42;0;599;490;75;10;7;17;0
